rank_order,rank,name,scores_overall,scores_overall_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
284,251-300,Oregon State University,0.0,284,63.8,299,32.1,562,42.8,430,28.5,288,30.6,328,United States,"22,578",16.8,8%,47 : 53,Oregon State University,"History, Philosophy & Theology,Biological Sciences,Accounting & Finance,Other Health,Geography,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Computer Science,Business & Management,Chemical Engineering,Psychology,Sport Science,Sociology,Agriculture & Forestry,Physics & Astronomy,Communication & Media Studies,Languages, Literature & Linguistics,Education,Veterinary Science,Electrical & Electronic Engineering,Economics & Econometrics",False,False
289,251-300,Rensselaer Polytechnic Institute,0.0,289,65.1,283,79.6,89,40.3,453,31.5,245,30.4,332,United States,"6,671",15.0,16%,30 : 70,Rensselaer Polytechnic Institute,"History, Philosophy & Theology,Chemical Engineering,Psychology,Art, Performing Arts & Design,Civil Engineering,Communication & Media Studies,Accounting & Finance,General Engineering,Electrical & Electronic Engineering,Architecture,Computer Science,Physics & Astronomy,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Biological Sciences,Business & Management,Mechanical & Aerospace Engineering",False,False
292,251-300,Saint Louis University,0.0,292,85.0,111,29.9,650,26.6,628,10.9,700,36.9,212,United States,"11,919",5.8,8%,58 : 42,Saint Louis University,"Chemistry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Physics & Astronomy,Education,Civil Engineering,Sociology,Geology, Environmental, Earth & Marine Sciences,General Engineering,Economics & Econometrics,Communication & Media Studies,Biological Sciences,Computer Science,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Sport Science,Chemical Engineering,History, Philosophy & Theology,Geography,Other Health,Medicine & Dentistry,Psychology,Accounting & Finance,Agriculture & Forestry,Languages, Literature & Linguistics,Business & Management,Law",False,False
296,251-300,Syracuse University,0.0,296,77.1,180,36.3,442,38.3,480,20.8,433,31.4,309,United States,"19,660",15.9,15%,55 : 45,Syracuse University,"Economics & Econometrics,Chemical Engineering,Physics & Astronomy,History, Philosophy & Theology,Law,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Civil Engineering,Mathematics & Statistics,Education,Biological Sciences,Sociology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Accounting & Finance,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Other Health,Chemistry,Computer Science,Sport Science,Geography,Business & Management,General Engineering,Psychology",False,False
298,251-300,The University of Tennessee-Knoxville,0.0,298,81.4,149,41.3,343,39.3,465,23.2,375,29.5,349,United States,"24,716",17.0,5%,,The University of Tennessee-Knoxville,"Physics & Astronomy,Economics & Econometrics,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Law,History, Philosophy & Theology,Business & Management,Geology, Environmental, Earth & Marine Sciences,Architecture,Agriculture & Forestry,Geography,Education,Biological Sciences,Archaeology,Other Health,Sport Science,Sociology,Computer Science,Veterinary Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Psychology,Languages, Literature & Linguistics,Civil Engineering,Mathematics & Statistics,Communication & Media Studies,Chemistry,Accounting & Finance",False,False
300,251-300,Tulane University,0.0,300,67.8,254,32.4,548,35.3,518,19.3,462,39.1,179,United States,"11,381",8.4,8%,56 : 44,Tulane University,"Languages, Literature & Linguistics,Chemistry,Art, Performing Arts & Design,Computer Science,Biological Sciences,Architecture,Education,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Sport Science,Accounting & Finance,Agriculture & Forestry,Communication & Media Studies,Other Health,Law,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Physics & Astronomy,Economics & Econometrics,Psychology,Mathematics & Statistics",False,False
303,251-300,Virginia Polytechnic Institute and State University,0.0,303,54.2,365,43.3,299,29.5,600,38.2,178,34.9,240,United States,"30,850",18.6,10%,42 : 58,Virginia Polytechnic Institute and State University virginia tech virginia,"Languages, Literature & Linguistics,General Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics,Education,Sport Science,Communication & Media Studies,Art, Performing Arts & Design,Business & Management,Geology, Environmental, Earth & Marine Sciences,Architecture,Computer Science,Sociology,Archaeology,Geography,Politics & International Studies (incl Development Studies),Chemistry,Veterinary Science,Agriculture & Forestry,Other Health,Physics & Astronomy,History, Philosophy & Theology,Biological Sciences,Medicine & Dentistry,Electrical & Electronic Engineering,Economics & Econometrics,Psychology,Chemical Engineering,Accounting & Finance,Civil Engineering",False,False
307,301-350,University of Alaska Fairbanks,0.0,307,63.0,308,51.2,222,53.5,304,23.1,376,25.1,463,United States,"3,837",8.2,7%,53 : 47,University of Alaska Fairbanks,"Education,Accounting & Finance,Psychology,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Art, Performing Arts & Design,General Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics,Geography,Sociology,Economics & Econometrics,Architecture,Biological Sciences,Other Health,History, Philosophy & Theology,Civil Engineering,Chemistry,Computer Science,Business & Management,Agriculture & Forestry,Languages, Literature & Linguistics",False,False
311,301-350,University of Cincinnati – Uptown,0.0,311,72.1,225,35.3,466,28.3,610,20.4,442,31.3,310,United States,"36,108",15.7,6%,54 : 46,University of Cincinnati – Uptown,"Electrical & Electronic Engineering,Economics & Econometrics,Education,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Archaeology,Communication & Media Studies,Computer Science,Agriculture & Forestry,Chemistry,Business & Management,Sociology,Psychology,General Engineering,Other Health,Architecture,Geography,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Accounting & Finance,Chemical Engineering,Physics & Astronomy,Art, Performing Arts & Design,Civil Engineering,History, Philosophy & Theology,Mathematics & Statistics,Law",False,False
312,301-350,University of Connecticut,0.0,312,57.0,347,30.9,611,43.1,426,25.6,340,35.9,220,United States,"25,742",13.0,11%,51 : 49,University of Connecticut,"Civil Engineering,Sociology,Business & Management,Economics & Econometrics,General Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geography,Art, Performing Arts & Design,Education,Biological Sciences,Psychology,History, Philosophy & Theology,Chemistry,Law,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Communication & Media Studies,Accounting & Finance,Architecture,Computer Science,Sport Science,Other Health,Mathematics & Statistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemical Engineering",False,False
315,301-350,George Mason University,0.0,315,64.9,285,29.1,679,36.9,494,21.2,424,29.6,346,United States,"26,622",17.0,7%,54 : 46,George Mason University,"Psychology,Communication & Media Studies,Civil Engineering,Art, Performing Arts & Design,General Engineering,Education,Law,Sociology,Physics & Astronomy,History, Philosophy & Theology,Business & Management,Biological Sciences,Sport Science,Mechanical & Aerospace Engineering,Accounting & Finance,Geography,Electrical & Electronic Engineering,Chemistry,Other Health,Languages, Literature & Linguistics,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Computer Science",False,False
324,301-350,Medical College of Wisconsin,0.0,324,85.2,110,31.8,574,30.4,587,12.1,652,25.4,457,United States,"1,211",0.6,5%,48 : 52,Medical College of Wisconsin,,False,False
333,301-350,University of Nebraska-Lincoln,0.0,333,53.5,371,35.6,460,45.8,400,30.2,262,30.1,336,United States,"21,789",16.4,9%,46 : 54,University of Nebraska-Lincoln,"Art, Performing Arts & Design,Electrical & Electronic Engineering,Veterinary Science,Sociology,Architecture,Education,Sport Science,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mathematics & Statistics,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemical Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Other Health,Psychology,Economics & Econometrics,Civil Engineering,Chemistry,History, Philosophy & Theology,General Engineering,Physics & Astronomy,Archaeology,Law,Biological Sciences,Business & Management,Computer Science,Agriculture & Forestry,Geography",False,False
335,301-350,University of Oregon,0.0,335,72.6,220,30.8,616,33.5,542,22.7,386,21.2,594,United States,"24,418",20.2,11%,52 : 48,University of Oregon,"History, Philosophy & Theology,Computer Science,Other Health,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Law,Geography,Art, Performing Arts & Design,Chemistry,Business & Management,Psychology,Economics & Econometrics,Physics & Astronomy,Architecture,Geology, Environmental, Earth & Marine Sciences,Education,Sociology,Accounting & Finance,Mathematics & Statistics,Biological Sciences,Communication & Media Studies",False,False
352,351-400,SUNY Binghamton University,0.0,352,62.0,313,34.0,499,53.6,302,17.4,512,22.7,542,United States,"15,799",23.3,13%,48 : 52,SUNY Binghamton University,"Education,Electrical & Electronic Engineering,General Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Chemical Engineering,Psychology,History, Philosophy & Theology,Physics & Astronomy,Archaeology,Geography,Medicine & Dentistry,Art, Performing Arts & Design,Business & Management,Accounting & Finance,Mathematics & Statistics,Computer Science,Politics & International Studies (incl Development Studies),Chemistry,Sociology,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Economics & Econometrics",False,False
355,351-400,Drexel University,0.0,355,57.7,345,36.3,441,46.3,391,14.6,591,31.2,311,United States,"20,713",10.8,17%,48 : 52,Drexel University,"Education,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering,Computer Science,Biological Sciences,Architecture,General Engineering,Communication & Media Studies,Medicine & Dentistry,Languages, Literature & Linguistics,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Chemical Engineering,Electrical & Electronic Engineering,Sport Science,Business & Management,Economics & Econometrics,Law,History, Philosophy & Theology,Psychology,Veterinary Science,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Mathematics & Statistics,Other Health,Chemistry,Agriculture & Forestry",False,False
363,351-400,University of Houston,0.0,363,52.0,390,42.3,321,33.9,533,26.5,329,34.9,237,United States,"40,325",43.7,9%,50 : 50,University of Houston,"Chemical Engineering,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geography,Architecture,Economics & Econometrics,Sport Science,Civil Engineering,Chemistry,Computer Science,Mathematics & Statistics,History, Philosophy & Theology,Education,Physics & Astronomy,Medicine & Dentistry,Law,Sociology,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Other Health",False,False
370,351-400,Mizzou - University of Missouri,0.0,370,60.2,327,31.1,601,31.0,575,21.0,428,31.2,314,United States,"29,885",14.1,5%,53 : 47,Mizzou - University of Missouri,"Mechanical & Aerospace Engineering,Mathematics & Statistics,Other Health,Sociology,Chemical Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,Sport Science,Business & Management,Geography,Civil Engineering,Education,Art, Performing Arts & Design,Archaeology,Biological Sciences,Veterinary Science,Medicine & Dentistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Economics & Econometrics,Agriculture & Forestry,Psychology,Computer Science,Accounting & Finance,Law,General Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Communication & Media Studies",False,False
372,351-400,University of Montana,0.0,372,65.5,276,31.0,607,21.5,681,13.6,619,30.8,323,United States,"12,470",15.2,3%,54 : 46,University of Montana,"Law,Geology, Environmental, Earth & Marine Sciences,Sociology,Physics & Astronomy,Languages, Literature & Linguistics,Education,Chemistry,Art, Performing Arts & Design,Computer Science,Sport Science,Communication & Media Studies,History, Philosophy & Theology,Other Health,Biological Sciences,Accounting & Finance,Economics & Econometrics,Mathematics & Statistics,Psychology,Business & Management,Geography,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies)",False,False
374,351-400,University of Nebraska Medical Center,0.0,374,64.4,293,33.6,512,37.7,487,13.3,625,37.0,210,United States,"2,857",2.6,8%,67 : 33,University of Nebraska Medical Center,"Psychology,Medicine & Dentistry,Other Health,Education,Biological Sciences",False,False
375,351-400,University of New Mexico (Main campus),0.0,375,74.5,204,37.0,422,28.6,606,15.4,564,25.6,447,United States,"23,618",6.5,4%,67 : 33,University of New Mexico (Main campus),"Mechanical & Aerospace Engineering,Biological Sciences,Other Health,Economics & Econometrics,Sociology,Education,Law,Geography,Medicine & Dentistry,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,General Engineering,Psychology,Mathematics & Statistics,Sport Science,Art, Performing Arts & Design,Business & Management,Communication & Media Studies,Chemistry,Languages, Literature & Linguistics,Architecture,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy",False,False
383,351-400,San Diego State University,0.0,383,62.7,309,29.3,671,25.9,637,27.0,316,20.3,621,United States,"27,420",31.7,5%,57 : 43,San Diego State University,"Computer Science,Art, Performing Arts & Design,Mathematics & Statistics,Other Health,Civil Engineering,Biological Sciences,Physics & Astronomy,Education,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,History, Philosophy & Theology,Sociology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Psychology,General Engineering,Communication & Media Studies,Geography,Accounting & Finance,Business & Management,Politics & International Studies (incl Development Studies),Chemistry",False,False
385,351-400,University of South Carolina-Columbia,0.0,385,58.7,340,30.3,639,24.5,655,21.5,419,31.1,317,United States,"29,336",16.3,1%,55 : 45,University of South Carolina-Columbia,"Chemistry,Communication & Media Studies,Mechanical & Aerospace Engineering,Accounting & Finance,History, Philosophy & Theology,Psychology,Law,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Art, Performing Arts & Design,Sport Science,Physics & Astronomy,Medicine & Dentistry,Computer Science,Geography,Biological Sciences,Business & Management,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Education,Civil Engineering,Mathematics & Statistics,Other Health,Sociology,General Engineering,Chemical Engineering",False,False
386,351-400,University of South Dakota,0.0,386,70.4,235,28.0,759,17.1,744,12.1,655,29.3,353,United States,"8,003",17.1,2%,61 : 39,University of South Dakota,"Mathematics & Statistics,Politics & International Studies (incl Development Studies),Psychology,Education,Business & Management,Geography,Computer Science,Communication & Media Studies,Sport Science,Economics & Econometrics,Art, Performing Arts & Design,Accounting & Finance,Chemistry,Sociology,History, Philosophy & Theology,Medicine & Dentistry,Biological Sciences,Other Health,Languages, Literature & Linguistics,Law,Physics & Astronomy",False,False
393,351-400,Temple University,0.0,393,58.3,341,41.6,338,28.6,607,18.2,491,34.0,263,United States,"33,268",13.3,5%,51 : 49,Temple University,"Accounting & Finance,General Engineering,Physics & Astronomy,Architecture,Medicine & Dentistry,Communication & Media Studies,Law,Languages, Literature & Linguistics,Computer Science,Sport Science,Sociology,History, Philosophy & Theology,Education,Agriculture & Forestry,Mechanical & Aerospace Engineering,Geography,Business & Management,Art, Performing Arts & Design,Biological Sciences,Civil Engineering,Chemistry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Mathematics & Statistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Psychology",False,False
394,351-400,The University of Texas at San Antonio,0.0,394,74.9,201,28.6,711,29.6,597,16.6,532,18.1,718,United States,"27,520",26.9,6%,48 : 52,The University of Texas at San Antonio,"Physics & Astronomy,Politics & International Studies (incl Development Studies),Education,Accounting & Finance,Law,Business & Management,Chemistry,Civil Engineering,Biological Sciences,Psychology,Sociology,Art, Performing Arts & Design,Computer Science,General Engineering,History, Philosophy & Theology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Geography,Chemical Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Other Health,Agriculture & Forestry,Communication & Media Studies,Mechanical & Aerospace Engineering,Architecture,Sport Science",False,False
401,351-400,Washington State University,0.0,401,49.6,408,57.1,188,39.6,460,28.2,293,29.0,356,United States,"24,550",18.3,7%,50 : 50,Washington State University,"Medicine & Dentistry,Geography,Agriculture & Forestry,Accounting & Finance,Chemistry,Civil Engineering,Architecture,Electrical & Electronic Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Psychology,Computer Science,Business & Management,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,General Engineering,History, Philosophy & Theology,Sport Science,Mechanical & Aerospace Engineering,Mathematics & Statistics,Archaeology,Sociology,Art, Performing Arts & Design,Education,Veterinary Science,Biological Sciences,Economics & Econometrics,Politics & International Studies (incl Development Studies),Communication & Media Studies,Other Health",False,False
402,351-400,Wayne State University,0.0,402,65.3,279,41.7,337,29.6,598,14.2,604,31.9,299,United States,"23,065",10.7,6%,57 : 43,Wayne State University,"Sociology,Civil Engineering,Law,Biological Sciences,Sport Science,Chemistry,Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,History, Philosophy & Theology,Chemical Engineering,Politics & International Studies (incl Development Studies),Computer Science,Art, Performing Arts & Design,Mathematics & Statistics,General Engineering,Medicine & Dentistry,Psychology,Business & Management,Education,Accounting & Finance,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Physics & Astronomy,Communication & Media Studies",False,False
403,401-500,American University,0.0,403,41.1,487,35.9,450,28.9,603,16.5,534,42.2,140,United States,"11,604",12.0,12%,60 : 40,American University,"Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Education,Sociology,Accounting & Finance,Biological Sciences,Economics & Econometrics,Law,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Computer Science,Mathematics & Statistics,History, Philosophy & Theology,Sport Science,Communication & Media Studies,Chemistry,Medicine & Dentistry,Psychology",False,False
430,401-500,Florida International University,0.0,430,49.4,410,32.7,539,32.8,551,18.1,493,25.7,442,United States,"32,566",25.9,7%,56 : 44,Florida International University,"History, Philosophy & Theology,Biological Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Civil Engineering,Architecture,Computer Science,Law,Chemistry,Business & Management,Sociology,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Geography,Communication & Media Studies,Economics & Econometrics,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Art, Performing Arts & Design,Accounting & Finance,Other Health,Mechanical & Aerospace Engineering,Medicine & Dentistry,General Engineering,Education,Psychology",False,False
432,401-500,Georgia State University,0.0,432,52.9,380,28.7,704,29.5,599,19.5,457,26.3,417,United States,"28,534",20.4,5%,59 : 41,Georgia State University,"Biological Sciences,Economics & Econometrics,Geography,Mathematics & Statistics,Other Health,Physics & Astronomy,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,History, Philosophy & Theology,Chemistry,Psychology,Languages, Literature & Linguistics,Education,Accounting & Finance,Law,Sociology,Business & Management,Computer Science,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences",False,False
436,401-500,Howard University,0.0,436,44.5,453,0.0,782,30.3,589,11.0,693,38.8,181,United States,"10,297",6.8,5%,65 : 35,Howard University,"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Sport Science,Chemical Engineering,Civil Engineering,Psychology,Sociology,Other Health,Biological Sciences,General Engineering,Chemistry,Art, Performing Arts & Design,Computer Science,Law,Medicine & Dentistry,History, Philosophy & Theology,Physics & Astronomy,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Architecture,Business & Management,Mathematics & Statistics,Education",False,False
438,401-500,University of Idaho,0.0,438,40.8,491,32.4,547,32.0,558,19.4,460,28.3,373,United States,"11,641",21.5,6%,47 : 53,University of Idaho,"Medicine & Dentistry,Veterinary Science,Art, Performing Arts & Design,General Engineering,Chemistry,Politics & International Studies (incl Development Studies),Chemical Engineering,Mathematics & Statistics,History, Philosophy & Theology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Physics & Astronomy,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sport Science,Sociology,Architecture,Economics & Econometrics,Mechanical & Aerospace Engineering,Geography,Archaeology,Accounting & Finance,Agriculture & Forestry,Psychology,Business & Management,Law,Communication & Media Studies,Computer Science,Biological Sciences",False,False
450,401-500,Lehigh University,0.0,450,58.2,342,38.9,382,36.0,508,15.0,572,23.9,506,United States,"6,300",11.3,15%,44 : 56,Lehigh University,"Art, Performing Arts & Design,Accounting & Finance,Economics & Econometrics,Civil Engineering,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemistry,Education,Psychology,Languages, Literature & Linguistics,Communication & Media Studies,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Sociology,Physics & Astronomy,Chemical Engineering,Mechanical & Aerospace Engineering,Architecture,History, Philosophy & Theology,Other Health,General Engineering,Computer Science,Business & Management,Mathematics & Statistics",False,False
451,401-500,Louisiana State University,0.0,451,37.8,509,0.0,785,26.1,634,27.7,302,26.8,406,United States,"28,116",20.1,5%,52 : 48,Louisiana State University,"Communication & Media Studies,Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Business & Management,Sociology,Sport Science,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Architecture,Economics & Econometrics,Chemistry,Other Health,Education,Languages, Literature & Linguistics,Geography,Computer Science,Agriculture & Forestry,Mathematics & Statistics,Biological Sciences,Physics & Astronomy,Electrical & Electronic Engineering,History, Philosophy & Theology,Chemical Engineering,Psychology,Law,Art, Performing Arts & Design,Accounting & Finance,Mechanical & Aerospace Engineering",False,False
454,401-500,"University of Maryland, Baltimore County",0.0,454,61.3,321,31.7,578,28.2,612,18.2,490,21.3,589,United States,"13,908",18.1,7%,46 : 54,"University of Maryland, Baltimore County","Sociology,Languages, Literature & Linguistics,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,Biological Sciences,Psychology,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Geography,General Engineering,History, Philosophy & Theology,Agriculture & Forestry,Electrical & Electronic Engineering,Chemistry,Computer Science,Communication & Media Studies,Other Health,Accounting & Finance,Business & Management,Education,Mathematics & Statistics,Chemical Engineering",False,False
480,401-500,University of San Francisco,0.0,480,43.8,457,28.6,709,40.1,456,12.9,634,34.2,253,United States,"10,788",17.0,17%,63 : 37,University of San Francisco,"Accounting & Finance,Architecture,Art, Performing Arts & Design,Biological Sciences,Business & Management,Chemistry,Communication & Media Studies,Computer Science,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,Mathematics & Statistics,Other Health,Physics & Astronomy,Politics & International Studies (incl Development Studies),Psychology,Sociology,Sport Science",False,False
485,401-500,SUNY University at Albany,0.0,485,35.5,528,28.0,761,31.4,569,35.3,207,25.6,450,United States,"15,387",18.5,8%,51 : 49,SUNY University at Albany,"Computer Science,Geography,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Archaeology,Electrical & Electronic Engineering,Other Health,Sociology,Business & Management,Biological Sciences,Economics & Econometrics,Art, Performing Arts & Design,Physics & Astronomy,Education,Communication & Media Studies,History, Philosophy & Theology,Chemistry,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Psychology,Accounting & Finance",False,False
506,501-600,University of Arkansas,0.0,506,30.3,573,36.9,425,25.9,636,17.4,511,25.5,452,United States,"22,819",21.2,5%,50 : 50,University of Arkansas,"Sociology,Geography,Education,Communication & Media Studies,Archaeology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Computer Science,Physics & Astronomy,Law,Agriculture & Forestry,Medicine & Dentistry,Accounting & Finance,Mathematics & Statistics,Architecture,History, Philosophy & Theology,Sport Science,General Engineering,Economics & Econometrics,Chemistry,Psychology,Business & Management,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Civil Engineering,Biological Sciences,Languages, Literature & Linguistics,Veterinary Science,Other Health",False,False
507,501-600,Auburn University,0.0,507,21.0,660,37.2,417,27.9,615,19.4,459,30.2,333,United States,"22,386",17.6,4%,51 : 49,Auburn University,"Business & Management,Biological Sciences,Other Health,Education,History, Philosophy & Theology,Sport Science,Communication & Media Studies,Electrical & Electronic Engineering,Veterinary Science,Chemical Engineering,Art, Performing Arts & Design,Economics & Econometrics,Chemistry,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),General Engineering,Physics & Astronomy,Geography,Agriculture & Forestry,Accounting & Finance,Mechanical & Aerospace Engineering,Psychology,Sociology,Architecture,Medicine & Dentistry,Law,Mathematics & Statistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science",False,False
538,501-600,Kansas State University,0.0,538,39.3,500,43.1,303,41.7,437,17.5,505,22.9,537,United States,"21,379",15.1,10%,50 : 50,Kansas State University,"Agriculture & Forestry,Economics & Econometrics,Mathematics & Statistics,Chemical Engineering,Sociology,Biological Sciences,Computer Science,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Accounting & Finance,Electrical & Electronic Engineering,Business & Management,Geography,Psychology,Sport Science,Veterinary Science,Chemistry,Languages, Literature & Linguistics,Architecture,General Engineering,Physics & Astronomy,Education,Politics & International Studies (incl Development Studies),Communication & Media Studies,Art, Performing Arts & Design,Civil Engineering,Law,Other Health,Geology, Environmental, Earth & Marine Sciences",False,False
540,501-600,Kent State University,0.0,540,53.8,367,28.5,716,32.4,555,14.2,603,18.4,695,United States,"23,122",19.0,7%,58 : 42,Kent State University,"Physics & Astronomy,Geography,Mechanical & Aerospace Engineering,Accounting & Finance,General Engineering,Politics & International Studies (incl Development Studies),Architecture,Communication & Media Studies,Medicine & Dentistry,Computer Science,Art, Performing Arts & Design,Sociology,Geology, Environmental, Earth & Marine Sciences,Other Health,Education,Mathematics & Statistics,Languages, Literature & Linguistics,Economics & Econometrics,Sport Science,Biological Sciences,Business & Management,Chemistry,History, Philosophy & Theology,Psychology,Veterinary Science",False,False
557,501-600,Missouri University of Science and Technology,0.0,557,28.7,587,52.8,209,40.6,448,18.4,482,23.5,521,United States,"7,647",15.5,12%,23 : 77,Missouri University of Science and Technology,"General Engineering,Communication & Media Studies,History, Philosophy & Theology,Education,Physics & Astronomy,Mechanical & Aerospace Engineering,Business & Management,Economics & Econometrics,Electrical & Electronic Engineering,Accounting & Finance,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Psychology,Civil Engineering,Biological Sciences,Chemical Engineering,Languages, Literature & Linguistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemistry,Computer Science",False,False
