rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
2980,251–300,William & Mary,45.2–48.2,2980,44.9,124,18.2,577,84.6,162,32.6,932,32.2,738,United States,"8,044",11.8,9%,55 : 45,William & Mary,"Psychology,Computer Science,Sport Science,History, Philosophy & Theology,Mathematics & Statistics,Accounting & Finance,Law,Sociology,Art, Performing Arts & Design,Education,Physics & Astronomy,Geography,Languages, Literature & Linguistics,Chemistry,Politics & International Studies (incl Development Studies),Business & Management,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Economics & Econometrics",False,False
3020,301–350,University of Alaska Fairbanks,42.4–45.1,3020,25.3,533,23.2,446,78.3,230,44.9,364,52.8,406,United States,"3,769",8.3,6%,51 : 49,University of Alaska Fairbanks,"Education,Accounting & Finance,Psychology,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Art, Performing Arts & Design,General Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics,Geography,Sociology,Economics & Econometrics,Architecture,Biological Sciences,Other Health,History, Philosophy & Theology,Civil Engineering,Chemistry,Computer Science,Business & Management,Agriculture & Forestry,Languages, Literature & Linguistics",False,False
3080,301–350,Boston College,42.4–45.1,3080,37.0,223,20.0,520,74.1,278,43.8,376,53.8,389,United States,"12,943",16.1,12%,55 : 45,Boston College,"Computer Science,Medicine & Dentistry,Physics & Astronomy,Psychology,History, Philosophy & Theology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Education,Sociology,Economics & Econometrics,Biological Sciences,Art, Performing Arts & Design,Law,Chemistry,Politics & International Studies (incl Development Studies),General Engineering,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Business & Management",False,False
3110,301–350,University of Connecticut,42.4–45.1,3110,35.7,248,28.5,335,66.8,367,34.6,749,48.5,473,United States,"26,669",12.7,12%,51 : 49,University of Connecticut,"Civil Engineering,Sociology,Business & Management,Economics & Econometrics,General Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geography,Art, Performing Arts & Design,Education,Biological Sciences,Psychology,History, Philosophy & Theology,Chemistry,Law,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Communication & Media Studies,Accounting & Finance,Architecture,Computer Science,Sport Science,Other Health,Mathematics & Statistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemical Engineering",False,False
3130,301–350,University of Denver,42.4–45.1,3130,35.9,241,29.8,312,74.4,270,35.7,684,28.8,787,United States,"9,671",13.2,11%,56 : 44,University of Denver,"General Engineering,Psychology,Electrical & Electronic Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Other Health,Mathematics & Statistics,Accounting & Finance,Sociology,Communication & Media Studies,Law,Physics & Astronomy,Geography,Biological Sciences,Business & Management,Education,Languages, Literature & Linguistics,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sport Science,Politics & International Studies (incl Development Studies)",False,False
3170,301–350,George Mason University,42.4–45.1,3170,28.5,426,26.4,382,76.0,252,33.2,864,40.8,604,United States,"27,749",17.5,8%,54 : 46,George Mason University,"Psychology,Communication & Media Studies,Civil Engineering,Art, Performing Arts & Design,General Engineering,Education,Law,Sociology,Physics & Astronomy,History, Philosophy & Theology,Business & Management,Biological Sciences,Sport Science,Mechanical & Aerospace Engineering,Accounting & Finance,Geography,Electrical & Electronic Engineering,Chemistry,Other Health,Languages, Literature & Linguistics,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Computer Science",False,False
3200,301–350,University of Houston,42.4–45.1,3200,36.8,229,34.1,254,60.5,437,37.8,578,39.8,614,United States,"41,128",42.9,10%,50 : 50,University of Houston,"Chemical Engineering,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geography,Architecture,Economics & Econometrics,Sport Science,Civil Engineering,Chemistry,Computer Science,Mathematics & Statistics,History, Philosophy & Theology,Education,Physics & Astronomy,Medicine & Dentistry,Law,Sociology,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Other Health",False,False
3210,301–350,Iowa State University,42.4–45.1,3210,29.1,413,31.4,292,65.3,379,48.6,299,53.8,390,United States,"31,307",18.8,12%,45 : 55,Iowa State University,"Mechanical & Aerospace Engineering,History, Philosophy & Theology,Chemical Engineering,Accounting & Finance,Veterinary Science,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Architecture,Other Health,General Engineering,Psychology,Medicine & Dentistry,Sport Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Languages, Literature & Linguistics,Civil Engineering,Biological Sciences,Law,Business & Management,Sociology,Education,Art, Performing Arts & Design,Computer Science,Economics & Econometrics,Communication & Media Studies,Chemistry,Electrical & Electronic Engineering,Agriculture & Forestry",False,False
3320,301–350,University of Nebraska-Lincoln,42.4–45.1,3320,32.4,333,29.6,317,65.9,373,37.9,572,50.4,441,United States,"22,578",16.3,12%,47 : 53,University of Nebraska-Lincoln,"Art, Performing Arts & Design,Electrical & Electronic Engineering,Veterinary Science,Sociology,Architecture,Education,Sport Science,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mathematics & Statistics,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemical Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Other Health,Psychology,Economics & Econometrics,Civil Engineering,Chemistry,History, Philosophy & Theology,General Engineering,Physics & Astronomy,Archaeology,Law,Biological Sciences,Business & Management,Computer Science,Agriculture & Forestry,Geography",False,False
3330,301–350,Oregon State University,42.4–45.1,3330,30.1,388,29.3,324,72.4,297,36.5,640,48.5,475,United States,"23,668",16.2,10%,47 : 53,Oregon State University,"History, Philosophy & Theology,Biological Sciences,Accounting & Finance,Other Health,Geography,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Computer Science,Business & Management,Chemical Engineering,Psychology,Sport Science,Sociology,Agriculture & Forestry,Physics & Astronomy,Communication & Media Studies,Languages, Literature & Linguistics,Education,Veterinary Science,Electrical & Electronic Engineering,Economics & Econometrics",False,False
3350,301–350,Rensselaer Polytechnic Institute,42.4–45.1,3350,28.9,420,31.8,287,71.7,304,67.3,155,46.2,513,United States,"7,240",15.7,17%,32 : 68,Rensselaer Polytechnic Institute,"History, Philosophy & Theology,Chemical Engineering,Psychology,Art, Performing Arts & Design,Civil Engineering,Communication & Media Studies,Accounting & Finance,General Engineering,Electrical & Electronic Engineering,Architecture,Computer Science,Physics & Astronomy,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Biological Sciences,Business & Management,Mechanical & Aerospace Engineering",False,False
3360,301–350,Rush University,42.4–45.1,3360,35.3,260,12.4,773,88.2,119,41.3,440,14.8,1082,United States,"2,437",2.1,3%,73 : 27,Rush University,"Biological Sciences,Medicine & Dentistry,Other Health",False,False
3420,301–350,The University of Tennessee-Knoxville,42.4–45.1,3420,32.4,334,21.7,483,79.2,221,41.3,441,42.7,570,United States,"25,264",16.4,5%,,The University of Tennessee-Knoxville,"Physics & Astronomy,Economics & Econometrics,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Law,History, Philosophy & Theology,Business & Management,Geology, Environmental, Earth & Marine Sciences,Architecture,Agriculture & Forestry,Geography,Education,Biological Sciences,Archaeology,Other Health,Sport Science,Sociology,Computer Science,Veterinary Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Psychology,Languages, Literature & Linguistics,Civil Engineering,Mathematics & Statistics,Communication & Media Studies,Chemistry,Accounting & Finance",False,False
3480,301–350,Virginia Polytechnic Institute and State University,42.4–45.1,3480,33.5,301,39.6,194,65.1,384,43.8,378,33.5,715,United States,"30,975",18.2,11%,43 : 57,Virginia Polytechnic Institute and State University virginia tech virginia,"Languages, Literature & Linguistics,General Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics,Education,Sport Science,Communication & Media Studies,Art, Performing Arts & Design,Business & Management,Geology, Environmental, Earth & Marine Sciences,Architecture,Computer Science,Sociology,Archaeology,Geography,Politics & International Studies (incl Development Studies),Chemistry,Veterinary Science,Agriculture & Forestry,Other Health,Physics & Astronomy,History, Philosophy & Theology,Biological Sciences,Medicine & Dentistry,Electrical & Electronic Engineering,Economics & Econometrics,Psychology,Chemical Engineering,Accounting & Finance,Civil Engineering",False,False
3500,301–350,Washington State University,42.4–45.1,3500,29.3,405,27.7,350,70.3,317,50.9,275,45.6,523,United States,"27,135",19.7,7%,52 : 48,Washington State University,"Medicine & Dentistry,Geography,Agriculture & Forestry,Accounting & Finance,Chemistry,Civil Engineering,Architecture,Electrical & Electronic Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Psychology,Computer Science,Business & Management,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,General Engineering,History, Philosophy & Theology,Sport Science,Mechanical & Aerospace Engineering,Mathematics & Statistics,Archaeology,Sociology,Art, Performing Arts & Design,Education,Veterinary Science,Biological Sciences,Economics & Econometrics,Politics & International Studies (incl Development Studies),Communication & Media Studies,Other Health",False,False
3510,351–400,The University of Alabama,40.0–42.3,3510,30.0,390,20.6,498,76.7,244,33.3,855,27.7,814,United States,"33,679",22.2,5%,54 : 46,The University of Alabama,"Psychology,Agriculture & Forestry,Chemical Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Physics & Astronomy,Sociology,General Engineering,Mathematics & Statistics,Computer Science,Electrical & Electronic Engineering,Art, Performing Arts & Design,Sport Science,History, Philosophy & Theology,Civil Engineering,Mechanical & Aerospace Engineering,Communication & Media Studies,Business & Management,Law,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Chemistry,Biological Sciences,Other Health,Geography,Education",False,False
3520,351–400,American University,40.0–42.3,3520,39.4,195,23.6,434,66.8,366,38.2,559,32.2,732,United States,"11,534",11.7,13%,64 : 36,American University,"Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Education,Sociology,Accounting & Finance,Biological Sciences,Economics & Econometrics,Law,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Computer Science,Mathematics & Statistics,History, Philosophy & Theology,Sport Science,Communication & Media Studies,Chemistry,Medicine & Dentistry,Psychology",False,False
3590,351–400,"Colorado State University, Fort Collins",40.0–42.3,3590,28.7,423,30.9,295,67.9,353,36.7,627,37.7,643,United States,"23,921",15.9,6%,53 : 47,"Colorado State University, Fort Collins","General Engineering,Business & Management,Geography,Geology, Environmental, Earth & Marine Sciences,Computer Science,Other Health,Sociology,Sport Science,Communication & Media Studies,Education,Art, Performing Arts & Design,Chemistry,Mathematics & Statistics,Agriculture & Forestry,Archaeology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Accounting & Finance,Civil Engineering,Biological Sciences,History, Philosophy & Theology,Veterinary Science,Chemical Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Psychology",False,False
3640,351–400,Drexel University,40.0–42.3,3640,33.6,298,16.9,607,68.5,342,37.4,593,49.4,458,United States,"20,714",10.9,18%,49 : 51,Drexel University,"Education,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering,Computer Science,Biological Sciences,Architecture,General Engineering,Communication & Media Studies,Medicine & Dentistry,Languages, Literature & Linguistics,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Chemical Engineering,Electrical & Electronic Engineering,Sport Science,Business & Management,Economics & Econometrics,Law,History, Philosophy & Theology,Psychology,Veterinary Science,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Mathematics & Statistics,Other Health,Chemistry,Agriculture & Forestry",False,False
3660,351–400,University of Georgia,40.0–42.3,3660,30.1,387,32.3,277,60.7,430,34.3,772,42.6,572,United States,"33,842",16.3,7%,58 : 42,University of Georgia,"Architecture,Archaeology,Mathematics & Statistics,Accounting & Finance,Mechanical & Aerospace Engineering,Agriculture & Forestry,Civil Engineering,Psychology,Other Health,Communication & Media Studies,Biological Sciences,Sport Science,Economics & Econometrics,Computer Science,Physics & Astronomy,Sociology,Law,Electrical & Electronic Engineering,History, Philosophy & Theology,Medicine & Dentistry,Languages, Literature & Linguistics,Education,Chemistry,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Geography,Politics & International Studies (incl Development Studies),Chemical Engineering,Art, Performing Arts & Design,Veterinary Science",False,False
3670,351–400,Georgia State University,40.0–42.3,3670,30.9,363,24.7,412,65.4,377,32.1,994,39.7,617,United States,"28,593",18.9,6%,69 : 31,Georgia State University,"Biological Sciences,Economics & Econometrics,Geography,Mathematics & Statistics,Other Health,Physics & Astronomy,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,History, Philosophy & Theology,Chemistry,Psychology,Languages, Literature & Linguistics,Education,Accounting & Finance,Law,Sociology,Business & Management,Computer Science,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences",False,False
3740,351–400,University of Kansas,40.0–42.3,3740,36.2,238,22.7,459,63.3,399,39.1,515,36.7,659,United States,"24,515",7.2,9%,51 : 49,University of Kansas,"History, Philosophy & Theology,Economics & Econometrics,Communication & Media Studies,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Psychology,Other Health,Agriculture & Forestry,Biological Sciences,Sport Science,Education,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Business & Management,Chemistry,General Engineering,Computer Science,Sociology,Civil Engineering,Accounting & Finance,Art, Performing Arts & Design,Law,Geography,Languages, Literature & Linguistics,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Architecture,Mathematics & Statistics",False,False
3890,351–400,University of South Carolina-Columbia,40.0–42.3,3890,33.6,300,27.8,347,63.2,403,33.2,867,39.8,616,United States,"30,869",18.2,5%,55 : 45,University of South Carolina-Columbia,"Chemistry,Communication & Media Studies,Mechanical & Aerospace Engineering,Accounting & Finance,History, Philosophy & Theology,Psychology,Law,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Art, Performing Arts & Design,Sport Science,Physics & Astronomy,Medicine & Dentistry,Computer Science,Geography,Biological Sciences,Business & Management,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Education,Civil Engineering,Mathematics & Statistics,Other Health,Sociology,General Engineering,Chemical Engineering",False,False
3930,351–400,Temple University,40.0–42.3,3930,34.2,283,19.1,548,74.6,268,36.1,671,34.3,702,United States,"33,958",11.5,8%,52 : 48,Temple University,"Accounting & Finance,General Engineering,Physics & Astronomy,Architecture,Medicine & Dentistry,Communication & Media Studies,Law,Languages, Literature & Linguistics,Computer Science,Sport Science,Sociology,History, Philosophy & Theology,Education,Agriculture & Forestry,Mechanical & Aerospace Engineering,Geography,Business & Management,Art, Performing Arts & Design,Biological Sciences,Civil Engineering,Chemistry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Mathematics & Statistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Psychology",False,False
3950,351–400,Tulane University,40.0–42.3,3950,39.7,194,14.7,688,66.1,371,35.1,722,39.5,619,United States,"11,193",11.0,11%,56 : 44,Tulane University,"Languages, Literature & Linguistics,Chemistry,Art, Performing Arts & Design,Computer Science,Biological Sciences,Architecture,Education,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Sport Science,Accounting & Finance,Agriculture & Forestry,Communication & Media Studies,Other Health,Law,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Physics & Astronomy,Economics & Econometrics,Psychology,Mathematics & Statistics",False,False
3980,351–400,University of Vermont,40.0–42.3,3980,27.4,456,20.0,521,82.8,179,45.2,357,26.5,832,United States,"10,992",8.9,3%,56 : 44,University of Vermont UV Vermont USA,"Art, Performing Arts & Design,Electrical & Electronic Engineering,Psychology,Economics & Econometrics,Biological Sciences,Sociology,Education,Geography,Other Health,Veterinary Science,Civil Engineering,Communication & Media Studies,Agriculture & Forestry,Mathematics & Statistics,Business & Management,Sport Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,General Engineering,Chemistry,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Computer Science,Physics & Astronomy",False,False
4010,351–400,Wayne State University,40.0–42.3,4010,32.5,330,16.6,618,75.1,259,42.5,407,36.7,662,United States,"22,215",10.8,9%,56 : 44,Wayne State University,"Sociology,Civil Engineering,Law,Biological Sciences,Sport Science,Chemistry,Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,History, Philosophy & Theology,Chemical Engineering,Politics & International Studies (incl Development Studies),Computer Science,Art, Performing Arts & Design,Mathematics & Statistics,General Engineering,Medicine & Dentistry,Psychology,Business & Management,Education,Accounting & Finance,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Physics & Astronomy,Communication & Media Studies",False,False
4190,401–500,Florida International University,35.0–39.9,4190,28.2,434,19.5,534,59.2,451,35.6,691,37.4,649,United States,"32,838",24.4,8%,56 : 44,Florida International University,"History, Philosophy & Theology,Biological Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Civil Engineering,Architecture,Computer Science,Law,Chemistry,Business & Management,Sociology,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Geography,Communication & Media Studies,Economics & Econometrics,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Art, Performing Arts & Design,Accounting & Finance,Other Health,Mechanical & Aerospace Engineering,Medicine & Dentistry,General Engineering,Education,Psychology",False,False
4260,401–500,Hofstra University,35.0–39.9,4260,32.9,312,4.8,1098,74.9,264,31.7,1070,28.5,799,United States,"10,001",13.9,10%,56 : 44,Hofstra University,"Education,Civil Engineering,Psychology,Biological Sciences,Other Health,Sport Science,Accounting & Finance,Law,Communication & Media Studies,Business & Management,Agriculture & Forestry,Geography,History, Philosophy & Theology,Electrical & Electronic Engineering,Physics & Astronomy,Art, Performing Arts & Design,General Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Languages, Literature & Linguistics,Medicine & Dentistry,Chemistry,Computer Science,Mathematics & Statistics,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies)",False,False
4380,401–500,Louisiana State University,35.0–39.9,4380,35.1,263,35.4,236,52.4,506,7.7,1086,33.0,722,United States,"29,533",20.5,6%,52 : 48,Louisiana State University,"Communication & Media Studies,Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Business & Management,Sociology,Sport Science,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Architecture,Economics & Econometrics,Chemistry,Other Health,Education,Languages, Literature & Linguistics,Geography,Computer Science,Agriculture & Forestry,Mathematics & Statistics,Biological Sciences,Physics & Astronomy,Electrical & Electronic Engineering,History, Philosophy & Theology,Chemical Engineering,Psychology,Law,Art, Performing Arts & Design,Accounting & Finance,Mechanical & Aerospace Engineering",False,False
4420,401–500,"University of Maryland, Baltimore County",35.0–39.9,4420,23.6,616,17.0,606,70.7,311,33.4,851,32.8,726,United States,"11,781",18.8,8%,46 : 54,"University of Maryland, Baltimore County","Sociology,Languages, Literature & Linguistics,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,Biological Sciences,Psychology,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Geography,General Engineering,History, Philosophy & Theology,Agriculture & Forestry,Electrical & Electronic Engineering,Chemistry,Computer Science,Communication & Media Studies,Other Health,Accounting & Finance,Business & Management,Education,Mathematics & Statistics,Chemical Engineering",False,False
4470,401–500,Mizzou - University of Missouri,35.0–39.9,4470,32.0,340,19.5,537,59.8,444,33.1,876,36.0,668,United States,"30,535",11.5,6%,53 : 47,Mizzou - University of Missouri,"Mechanical & Aerospace Engineering,Mathematics & Statistics,Other Health,Sociology,Chemical Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,Sport Science,Business & Management,Geography,Civil Engineering,Education,Art, Performing Arts & Design,Archaeology,Biological Sciences,Veterinary Science,Medicine & Dentistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Economics & Econometrics,Agriculture & Forestry,Psychology,Computer Science,Accounting & Finance,Law,General Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Communication & Media Studies",False,False
4490,401–500,University of Montana,35.0–39.9,4490,34.6,274,17.7,592,69.9,324,33.6,827,25.6,842,United States,"9,573",16.6,3%,56 : 44,University of Montana,"Law,Geology, Environmental, Earth & Marine Sciences,Sociology,Physics & Astronomy,Languages, Literature & Linguistics,Education,Chemistry,Art, Performing Arts & Design,Computer Science,Sport Science,Communication & Media Studies,History, Philosophy & Theology,Other Health,Biological Sciences,Accounting & Finance,Economics & Econometrics,Mathematics & Statistics,Psychology,Business & Management,Geography,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies)",False,False
4550,401–500,University of Nebraska Medical Center,35.0–39.9,4550,34.7,269,10.6,868,58.6,456,36.2,659,41.2,596,United States,"2,856",2.4,9%,67 : 33,University of Nebraska Medical Center,"Psychology,Medicine & Dentistry,Other Health,Education,Biological Sciences",False,False
4570,401–500,Northern Arizona University,35.0–39.9,4570,19.7,841,11.3,831,91.6,80,32.1,998,29.8,773,United States,"27,227",26.8,5%,58 : 42,Northern Arizona University,"History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Languages, Literature & Linguistics,Architecture,Geography,Art, Performing Arts & Design,Agriculture & Forestry,Sociology,Politics & International Studies (incl Development Studies),Chemistry,Civil Engineering,Communication & Media Studies,Sport Science,General Engineering,Education,Mathematics & Statistics,Biological Sciences,Physics & Astronomy,Accounting & Finance,Business & Management,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Psychology,Chemical Engineering,Other Health",False,False
4600,401–500,University of Oklahoma,35.0–39.9,4600,32.6,325,18.6,558,68.2,348,38.5,546,37.2,653,United States,"27,333",10.6,7%,51 : 49,University of Oklahoma,"Geography,Languages, Literature & Linguistics,Biological Sciences,Politics & International Studies (incl Development Studies),Education,Communication & Media Studies,Accounting & Finance,Electrical & Electronic Engineering,Sport Science,Medicine & Dentistry,Economics & Econometrics,Law,General Engineering,Architecture,History, Philosophy & Theology,Business & Management,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Psychology,Civil Engineering,Sociology,Physics & Astronomy,Computer Science,Other Health,Archaeology,Chemical Engineering,Chemistry,Mathematics & Statistics",False,False
4760,401–500,Saint Louis University,35.0–39.9,4760,35.7,250,14.7,687,65.0,387,34.7,743,28.0,808,United States,"10,976",6.8,7%,59 : 41,Saint Louis University,"Chemistry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Physics & Astronomy,Education,Civil Engineering,Sociology,Geology, Environmental, Earth & Marine Sciences,General Engineering,Economics & Econometrics,Communication & Media Studies,Biological Sciences,Computer Science,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Sport Science,Chemical Engineering,History, Philosophy & Theology,Geography,Other Health,Medicine & Dentistry,Psychology,Accounting & Finance,Agriculture & Forestry,Languages, Literature & Linguistics,Business & Management,Law",False,False
4780,401–500,San Diego State University,35.0–39.9,4780,23.6,618,23.4,443,69.1,332,32.8,905,30.2,765,United States,"29,136",30.7,7%,56 : 44,San Diego State University,"Computer Science,Art, Performing Arts & Design,Mathematics & Statistics,Other Health,Civil Engineering,Biological Sciences,Physics & Astronomy,Education,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,History, Philosophy & Theology,Sociology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Psychology,General Engineering,Communication & Media Studies,Geography,Accounting & Finance,Business & Management,Politics & International Studies (incl Development Studies),Chemistry",False,False
4870,401–500,SUNY Binghamton University,35.0–39.9,4870,23.0,651,19.5,540,70.3,316,34.9,730,42.9,565,United States,"17,238",23.7,15%,48 : 52,SUNY Binghamton University,"Education,Electrical & Electronic Engineering,General Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Chemical Engineering,Psychology,History, Philosophy & Theology,Physics & Astronomy,Archaeology,Geography,Medicine & Dentistry,Art, Performing Arts & Design,Business & Management,Accounting & Finance,Mathematics & Statistics,Computer Science,Politics & International Studies (incl Development Studies),Chemistry,Sociology,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Economics & Econometrics",False,False
4890,401–500,The University of Texas at San Antonio,35.0–39.9,4890,18.8,903,18.4,563,84.2,167,32.4,959,34.2,704,United States,"25,945",25.8,6%,49 : 51,The University of Texas at San Antonio,"Physics & Astronomy,Politics & International Studies (incl Development Studies),Education,Accounting & Finance,Law,Business & Management,Chemistry,Civil Engineering,Biological Sciences,Psychology,Sociology,Art, Performing Arts & Design,Computer Science,General Engineering,History, Philosophy & Theology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Geography,Chemical Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Other Health,Agriculture & Forestry,Communication & Media Studies,Mechanical & Aerospace Engineering,Architecture,Sport Science",False,False
4930,401–500,The University of Tulsa,35.0–39.9,4930,35.5,256,14.1,703,62.1,416,56.5,215,44.9,537,United States,"4,671",12.4,25%,43 : 57,The University of Tulsa,"Computer Science,Communication & Media Studies,Economics & Econometrics,Civil Engineering,Psychology,Other Health,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,General Engineering,Chemistry,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Mathematics & Statistics,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,Accounting & Finance,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Sport Science,Sociology,Biological Sciences",False,False
5000,401–500,University of Wisconsin-Milwaukee,35.0–39.9,5000,23.2,642,20.4,507,65.7,374,33.4,854,30.7,759,United States,"21,928",18.7,6%,52 : 48,University of Wisconsin-Milwaukee,"Accounting & Finance,Mathematics & Statistics,Art, Performing Arts & Design,Geography,Computer Science,Languages, Literature & Linguistics,General Engineering,Chemistry,Business & Management,Sociology,Civil Engineering,Biological Sciences,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Other Health,Electrical & Electronic Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering,Psychology,Medicine & Dentistry,Communication & Media Studies,Politics & International Studies (incl Development Studies),Education,History, Philosophy & Theology,Architecture,Sport Science",False,False
